"X","Variety","Centre","SNPsubsp","K9.group","country","region","readepth","Filtered.insertions","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
39,"IRIS 313-10518","IRIS","IND","XI-adm","Myanmar","SEA",15.35,19599,2,2,1,8.5,3.8,5,2,2.8,1,4.75359019110636,1
40,"IRIS 313-10519","IRIS","IND","XI-2","India","SAS",16.86,19609,2,1,5,7.1,2.7,5,2,2.9,NA,5.01727983681492,1
41,"IRIS 313-10524","IRIS","IND","XI-3","na","na",20.21,19564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"IRIS 313-10526","IRIS","IND","XI-2","India","SAS",20.34,19762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"IRIS 313-10534","IRIS","AUS","cA","India","SAS",16.43,19659,1,2,5,8.1,3,3,2,2.3,2,4.24849524204936,1
44,"IRIS 313-10541","IRIS","JAP","GJ-trp","Guinea-Bissau","AFR",19.73,19675,2,2,3,9.6,2.7,3,2,2.4,2,4.4188406077966,1
45,"IRIS 313-10542","IRIS","IND","XI-2","India","SAS",17.82,14227,2,2,1,8,3.3,3,2,2.5,1,4.4188406077966,1
46,"IRIS 313-10544","IRIS","IND","XI-2","India","SAS",17.88,18474,2,2,1,7.8,3.2,3,2,2.4,2,4.24849524204936,1
47,"IRIS 313-10547","IRIS","IND","XI-adm","Myanmar","SEA",15.8,18172,2,1,1,8.7,3.5,4,2,2.9,1,4.94875989037817,1
48,"IRIS 313-10550","IRIS","IND","XI-adm","Indonesia","SEA",15.87,18252,2,2,5,9.7,2.8,4,2,2.7,NA,4.77068462446567,1
49,"IRIS 313-10560","IRIS","IND","XI-1A","China","EAS",16.61,18784,2,1,1,8.3,3.3,3,2,2.1,1,4.58496747867057,1
50,"IRIS 313-10561","IRIS","IND","XI-1A","China","EAS",15.2,18550,2,1,1,8.6,3.3,3,2,2.6,1,4.47733681447821,1
51,"IRIS 313-10563","IRIS","JAP","GJ-tmp","na","na",19.53,19959,1,1,5,9.5,3.4,2,1,3.2,2,4.39444915467244,1
52,"IRIS 313-10564","IRIS","JAP","GJ-tmp","Japan","EAS",18.35,20384,1,2,3,7.4,3.4,3,1,2.4,2,4.43081679884331,1
53,"IRIS 313-10570","IRIS","JAP","GJ-tmp","Japan","EAS",16.8,20394,1,1,5,7.5,3.5,2,1,2.6,1,4.53259949315326,1
54,"IRIS 313-10576","IRIS","IND","XI-2","Sierra_Leone","AFR",23.58,16929,2,1,1,10.3,3.1,4,2,3,1,4.77068462446567,1
55,"IRIS 313-10577","IRIS","JAP","GJ-trp","Philippines","SEA",28.97,18292,2,1,5,9.6,3.8,5,1,2.1,2,4.68213122712422,1
56,"IRIS 313-10578","IRIS","JAP","GJ-trp","Philippines","SEA",20.31,18478,NA,2,7,9,3.6,NA,2,2.9,1,4.69134788222914,1
57,"IRIS 313-10582","IRIS","JAP","GJ-trp","Philippines","SEA",29.61,18903,2,1,5,9.4,3.8,4,1,2.5,1,4.68213122712422,1
58,"IRIS 313-10602","IRIS","AUS","cA","Bangladesh","SAS",20.44,12484,2,1,1,8,3.4,3,2,2.4,2,4.51085950651685,1
59,"IRIS 313-10603","IRIS","AUS","cA","Bangladesh","SAS",27.48,17101,2,1,5,8.5,3.2,3,2,2.8,2,4.51085950651685,1
60,"IRIS 313-10605","IRIS","AUS","cA","Bangladesh","SAS",23.19,17545,2,1,1,8.1,3.2,3,2,2.5,1,4.51085950651685,1
61,"IRIS 313-10609","IRIS","IND","XI-adm","Sri_Lanka","SAS",30.6,18014,2,1,1,8.2,3.2,4,2,2.2,1,4.69134788222914,1
62,"IRIS 313-10614","IRIS","IND","XI-adm","Hong_Kong","EAS",23.77,13897,2,1,1,8.5,3.2,4,2,3.1,1,4.61512051684126,1
63,"IRIS 313-10617","IRIS","JAP","GJ-tmp","na","na",17.17,20326,1,1,5,7.9,3.7,2,1,2.4,1,4.47733681447821,1
64,"IRIS 313-10623","IRIS","AUS","cA","Nepal","SAS",15.94,18881,1,2,5,8.7,3,3,1,2.3,1,4.30406509320417,2
65,"IRIS 313-10628","IRIS","IND","XI-2","India","SAS",17.91,18985,2,2,5,8.9,2.6,4,1,2.1,1,4.84418708645859,2
66,"IRIS 313-10642","IRIS","JAP","GJ-tmp","Japan","EAS",22.99,16083,1,1,3,7.6,3.4,2,1,2.6,1,4.39444915467244,1
67,"IRIS 313-10652","IRIS","IND","XI-3","Laos","SEA",17.8,18716,2,2,3,9.6,2.9,4,1,2.6,1,4.46590811865458,2
68,"IRIS 313-10654","IRIS","IND","XI-3","Laos","SEA",15.59,18119,1,1,5,10.8,2.9,3,1,2.2,2,4.33073334028633,2
69,"IRIS 313-10657","IRIS","JAP","GJ-sbtrp","Laos","SEA",20.47,19972,2,2,5,8.7,3.2,4,1,3,NA,4.30406509320417,1
70,"IRIS 313-10664","IRIS","IND","XI-2","India","SAS",19.4,17257,1,2,1,8.2,2.7,3,1,2.1,2,4.57471097850338,1
71,"IRIS 313-10666","IRIS","IND","XI-adm","India","SAS",19.88,18923,1,2,3,9.8,2.9,3,1,1.5,2,4.57471097850338,1
72,"IRIS 313-10671","IRIS","AUS","XI-adm","India","SAS",15.31,17943,1,2,5,8.7,2.8,4,1,2,2,4.4188406077966,2
73,"IRIS 313-10675","IRIS","AUS","XI-adm","India","SAS",15.78,19565,1,2,5,8.7,2.8,3,1,2.7,2,4.33073334028633,2
74,"IRIS 313-10677","IRIS","JAP","GJ-tmp","Japan","EAS",16.49,21034,1,1,1,7.4,3.3,3,1,2.3,2,4.20469261939097,1
75,"IRIS 313-10682","IRIS","IND","XI-3","Laos","SEA",19.64,18631,2,1,1,8.6,3.7,3,1,2.7,1,4.71849887129509,1
76,"IRIS 313-10687","IRIS","IND","XI-3","Malaysia","SEA",21.39,18032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"IRIS 313-10688","IRIS","IND","XI-3","Malaysia","SEA",15.86,18832,2,2,5,8.2,2.7,3,1,2.5,NA,4.96284463025991,1
