Variety,Group,Status,Country,Culm.diameter...1st.internode,culm.strength,flag.leaf.angle,grain.length,grain.width,leaf.length,leaf.senescence,Grain.weight,Salt.injury.at.EC12,Time.to.flowering..from.sowing,panicle.threshability
IRIS 313-10605,AUS,P,Bangladesh,2,1,1,8.1,3.2,3,2,2.5,1,4.510859507,1
IRIS 313-10609,IND,T,Sri_Lanka,2,1,1,8.2,3.2,4,2,2.2,1,4.691347882,1
IRIS 313-10614,IND,NA,Hong_Kong,2,1,1,8.5,3.2,4,2,3.1,1,4.615120517,1
IRIS 313-10617,JAP,NA,na,1,1,5,7.9,3.7,2,1,2.4,1,4.477336814,1
IRIS 313-10623,AUS,NA,Nepal,1,2,5,8.7,3,3,1,2.3,1,4.304065093,2
IRIS 313-10628,IND,T,India,2,2,5,8.9,2.6,4,1,2.1,1,4.844187086,2
IRIS 313-10642,JAP,P,Japan,1,1,3,7.6,3.4,2,1,2.6,1,4.394449155,1
IRIS 313-10652,IND,T,Laos,2,2,3,9.6,2.9,4,1,2.6,1,4.465908119,2
IRIS 313-10654,IND,P,Laos,1,1,5,10.8,2.9,3,1,2.2,2,4.33073334,2
IRIS 313-10657,JAP,NA,Laos,2,2,5,8.7,3.2,4,1,3,NA,4.304065093,1
IRIS 313-10664,IND,NA,India,1,2,1,8.2,2.7,3,1,2.1,2,4.574710979,1
IRIS 313-10666,IND,NA,India,1,2,3,9.8,2.9,3,1,1.5,2,4.574710979,1
IRIS 313-10671,AUS,NA,India,1,2,5,8.7,2.8,4,1,2,2,4.418840608,2
IRIS 313-10675,AUS,T,India,1,2,5,8.7,2.8,3,1,2.7,2,4.33073334,2
IRIS 313-10677,JAP,P,Japan,1,1,1,7.4,3.3,3,1,2.3,2,4.204692619,1
IRIS 313-10682,IND,T,Laos,2,1,1,8.6,3.7,3,1,2.7,1,4.718498871,1
IRIS 313-10687,IND,T,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10688,IND,T,Malaysia,2,2,5,8.2,2.7,3,1,2.5,NA,4.96284463,1
IRIS 313-10693,JAP,T,Indonesia,2,1,7,8.9,3.3,3,1,3.6,2,4.718498871,1
IRIS 313-10697,IND,T,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10703,JAP,T,Malaysia,2,1,5,9.2,3.1,3,1,2.8,2,4.510859507,1
IRIS 313-10706,IND,T,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10707,IND,T,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-10710,JAP,T,Surinam,2,2,3,8,3.4,3,1,2.9,2,4.510859507,1
IRIS 313-10712,JAP,NA,Ivory_Coast,2,1,3,9.6,3.7,3,1,3.4,1,4.510859507,1
IRIS 313-10718,AUS,T,Sri_Lanka,1,2,3,7.3,2.9,3,1,2.2,2,4.343805422,2
IRIS 313-10723,IND,NA,Senegal,2,2,3,8.1,2.8,4,1,2.4,2,4.779123493,1
IRIS 313-10725,IND,NA,Senegal,2,2,3,8.7,3.4,4,1,3.1,1,4.584967479,1
IRIS 313-10726,IND,NA,Senegal,2,2,3,9.2,2.5,4,1,2.1,1,4.779123493,1
IRIS 313-10727,IND,NA,Senegal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
