"X3K_DNA_IRIS_UNIQUE_ID","Status_with_Pedigree.plus.knowledge","Region_of_Origin","K9_group_Admixture","Genetic_Stock_Accession","Country_Origin_updated","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
"IRIS_313_10960","T","SER","GJ-trp","IRGC 132042","Indonesia",2,2,5,8.9,2.7,4,1,2.3,2,4.63472898822964,1
"IRIS_313_10961","T","SER","XI-3","IRGC 136187","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10965","T","SAE","cA (Aus)","IRGC 127859","Bangladesh",1,2,5,8.7,2.6,4,1,2.2,1,4.21950770517611,1
"IRIS_313_10968",NA,"SAM","XI-1A","IRGC 127428","Brazil",1,2,3,8.2,3.1,3,1,2.5,2,4.21950770517611,1
"IRIS_313_10975","T","SAE","XI-2","IRGC 136183","Bangladesh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_10980","T","SAE","admix","IRGC 127344","Bangladesh",2,2,3,8.5,3,3,1,2.9,2,4.39444915467244,2
"IRIS_313_10984","T","SAE","XI-2","IRGC 128034","Bangladesh",1,2,3,8.6,3.4,4,1,3,2,4.49980967033027,1
"IRIS_313_10986","T","SAE","XI-2","IRGC 128048","Bangladesh",1,2,5,8.2,3.3,4,1,2.3,2,4.49980967033027,2
"IRIS_313_10988","P","SAC","XI-adm","IRGC 132422","India",1,2,5,9.1,2.9,2,1,2.4,1,4.34380542185368,2
"IRIS_313_10990","T","SER","XI-adm","IRGC 127206","Philippines",2,2,5,7.5,3.5,4,1,2.6,2,4.44265125649032,1
"IRIS_313_10994","T","SER","GJ-trp","IRGC 135783","Philippines",1,2,5,8.9,3.3,4,1,2.6,NA,4.56434819146784,1
"IRIS_313_10995","T","SER","XI-3","IRGC 127976","Indonesia",1,2,5,7.8,3.1,4,1,2.6,1,4.76217393479776,2
"IRIS_313_10997","T","SER","XI-3","IRGC 127250","Indonesia",1,2,5,9,2.9,4,1,2,1,4.70048036579242,2
"IRIS_313_10999","T","SER","GJ-trp","IRGC 127550","Indonesia",2,2,5,9.5,3,3,1,2.8,1,4.21950770517611,1
"IRIS_313_11005","T","SER","GJ-trp","IRGC 128140","Indonesia",2,2,5,9,3.4,4,1,2.6,1,4.70048036579242,2
"IRIS_313_11007","T","SER","GJ-trp","IRGC 128141","Indonesia",2,2,5,8.3,3.5,4,1,2.7,1,4.70048036579242,1
"IRIS_313_11016","T","SAE","cA (Aus)","IRGC 128328","Bangladesh",1,2,5,8.1,2.7,3,2,1.9,2,4.40671924726425,1
"IRIS_313_11024","T","SAW","cA (Aus)","IRGC 127217","Pakistan",2,2,3,9.9,3,3,1,3,2,4.35670882668959,1
"IRIS_313_11027","T","SAW","cA (Aus)","IRGC 127454","Pakistan",1,1,1,7.3,2,3,2,1.2,2,4.35670882668959,2
"IRIS_313_11032","T","SAW","cB (Bas)","IRGC 127710","Pakistan",2,2,3,9.6,2.4,3,2,2.4,1,4.57471097850338,2
"IRIS_313_11033",NA,"SAW","admix","IRGC 128448","Pakistan",1,2,5,9.6,3,4,1,2.7,NA,4.35670882668959,2
"IRIS_313_11034",NA,"SAW","cA (Aus)","IRGC 127786","Pakistan",1,2,1,8.7,2.5,3,1,1.8,1,4.27666611901606,2
"IRIS_313_11035",NA,"SAW","admix","IRGC 128513","Pakistan",1,2,5,10,2.1,4,1,1.2,1,4.43081679884331,1
"IRIS_313_11037","T","SAW","cA (Aus)","IRGC 128211","Pakistan",1,2,5,8,2.8,2,1,2.1,1,4.35670882668959,1
"IRIS_313_11038","P","EAS","XI-1A","IRGC 127924","China",1,1,1,9,3.2,2,1,2.6,1,4.12713438504509,1
"IRIS_313_11039","I","EAS","XI-1A","IRGC 128093","China",1,1,1,7.2,3.2,2,2,2.5,1,4.24849524204936,1
"IRIS_313_11040",NA,"SAC","XI-adm",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11042",NA,"SAC","XI-adm",NA,"India",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11043",NA,"SER","XI-3",NA,"Malaysia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRIS_313_11044",NA,"SER","GJ-trp","IRGC 128005","Malaysia",1,2,3,8.2,3.7,4,1,2.9,1,4.70048036579242,2
"IRIS_313_11045",NA,"SER","GJ-trp","IRGC 128039","Malaysia",2,2,5,8.3,3.6,4,1,2.7,2,4.70048036579242,2
